Time,EEG_C3,EEG_C4,EEG_O1,EEG_O2,EEG_F3,EEG_F4,EEG_P3,EEG_P4,ECG_I,ECG_II,ECG_III
0.032,2.396212384302128e-05,-3.698395992562073e-06,-9.573256201649194e-05,4.86166289289594e-05,3.089011248052397e-05,-1.4269470453209062e-05,-3.517119813689387e-05,1.0174460256874504e-05,3.661435682641463e-05,2.585234209906657e-06,4.6459279194238567e-05
0.034,2.2883648382205078e-05,-2.1012468512147903e-06,-9.446210933834544e-05,4.120463616043654e-05,3.121341482281847e-05,-1.7049268122778302e-05,-3.0800432725581106e-05,1.3095897490158669e-05,-1.6067294210602502e-05,1.1359572568913234e-05,1.1767584024483486e-05
0.036000000000000004,2.227080967520702e-05,-6.067550656576804e-07,-8.917743731632474e-05,3.369741377309852e-05,3.1813668181396255e-05,-1.8181992231008942e-05,-2.6557141585816093e-05,1.2924022167724914e-05,-4.8870012380449535e-05,-1.529007700920514e-05,-5.371376466609951e-06
0.038,2.2313425011520763e-05,1.3470666987266129e-07,-8.30651065527731e-05,2.5587397280562906e-05,3.198618647281753e-05,-2.063399336747325e-05,-2.3497706062148227e-05,1.2056468663454661e-05,4.62405994306596e-06,7.95610714304167e-05,-2.229647323285662e-06
0.04,2.3998349034571746e-05,1.952316630211786e-07,-7.628142841162998e-05,1.3843934786523442e-05,3.1341553467830123e-05,-2.4727569499953156e-05,-1.980242954702928e-05,1.2450027872525178e-05,-3.0563112244177005e-05,-5.288788943924514e-05,2.7693116357800925e-05
0.042,2.254934180023884e-05,1.036134588566663e-06,-6.740998654246875e-05,7.211872110121898e-06,3.123357464563854e-05,-2.6927844034765763e-05,-1.6055541228055487e-05,1.3485853551644653e-05,-5.918603077744063e-05,-3.674989141678005e-05,2.987971566364177e-05
0.044,2.2274073472414998e-05,2.687881197736893e-06,-5.7498309920326874e-05,6.388500861943044e-07,3.203403614732279e-05,-3.248324629034376e-05,-1.2248579458572881e-05,1.3368708950798908e-05,2.0418798695786015e-05,-4.2131314905230554e-05,3.3245891259640706e-05
0.046,2.2757719419297937e-05,1.247405535710279e-06,-4.3929867993972175e-05,-3.922976620637892e-06,3.112506893244548e-05,-3.529839971915034e-05,-1.124193914140679e-05,1.2084103888188282e-05,-0.00010655798162682547,5.3581041154618126e-05,9.647394481065441e-06
0.048,2.1400577217302505e-05,2.4104223284103565e-06,-3.521949112856004e-05,-8.507955011222366e-06,2.970280240785952e-05,-3.9933409061789127e-05,-9.712490594169496e-06,1.3343121847435364e-05,-8.491308947138929e-05,4.4467462995980205e-05,-1.7793094002050414e-05
0.05,1.7886217613727644e-05,1.476368936511415e-06,-2.35885464547946e-05,-1.004521315546085e-05,2.90150268993148e-05,-4.118989727192253e-05,-1.0421999907795125e-05,1.3272516883075382e-05,-2.2640894083407608e-05,-2.040726080998375e-05,-2.298835857863138e-05
0.052000000000000005,1.626500554540167e-05,1.79887306235838e-06,-1.3196274107865573e-05,-1.1118878039320373e-05,2.863876120695695e-05,-4.3246648401091654e-05,-1.105256699567909e-05,1.1872649997149657e-05,1.6407283412191668e-05,0.00013022656896207664,6.441022513192577e-05
0.054,1.2936815983388559e-05,-6.272796584182806e-07,-4.872352085683186e-06,-1.0103901478592015e-05,2.7381853206380778e-05,-4.450768399336997e-05,-1.193487240838282e-05,1.2697926871383852e-05,4.866771952022554e-05,2.813933805139302e-05,-2.737627743787972e-05
0.056,9.579898467310272e-06,-2.2029600078418968e-06,3.5759045580584687e-06,-8.221535324342463e-06,2.5767128137842428e-05,-4.053755302504334e-05,-1.4650534065814561e-05,1.4641227156213303e-05,7.051298268631864e-05,0.00011999034836291216,3.6222631389771257e-06
0.058,5.726932559856203e-06,-4.2302766231133495e-06,8.56219095155797e-06,-3.2060735107380214e-06,2.5598071622993467e-05,-3.95424641360924e-05,-1.2265459021254477e-05,1.591590830368803e-05,6.683386606361415e-05,3.375319291621685e-05,-1.8145809993729218e-05
0.06,5.274682595644298e-07,-7.187000108423558e-06,1.1234848496429248e-05,2.1364310938807879e-07,2.354503764808402e-05,-3.588228702630993e-05,-1.6205008152056478e-05,1.902808831088818e-05,8.110169976808496e-05,5.066153228854004e-05,6.483712381096894e-05
0.062,-3.086514932392449e-06,-9.57545336325311e-06,1.2912494742311593e-05,7.254553002214465e-06,1.953999581224348e-05,-3.1074231484605885e-05,-1.596893896521909e-05,2.3711829979506483e-05,-5.1530762610922975e-05,-1.7187986745882265e-06,3.400720152042792e-05
0.064,-8.387620287707336e-06,-1.3398669934067542e-05,1.556183234430996e-05,1.1110695241934148e-05,1.6921735943732417e-05,-2.5356447129198808e-05,-1.6134167205822032e-05,2.677701630234387e-05,3.435030973435033e-05,-2.3991280104278948e-05,9.008387301603666e-05
0.066,-1.0471198041832594e-05,-1.5813353544910557e-05,1.53063005732616e-05,1.4605381372290986e-05,1.367776409878822e-05,-2.0135024678987315e-05,-1.807853004025358e-05,3.1791257840914656e-05,5.5248131103353966e-05,0.0001367574758046514,1.8143780779270124e-05
0.068,-1.2948266766566392e-05,-1.8174503962698263e-05,1.2126799069245275e-05,1.797276279714138e-05,9.890949280106102e-06,-1.704811590598149e-05,-1.795281032572765e-05,3.599178085801083e-05,-3.599762009997648e-05,8.982471411073022e-05,-2.5064778054174974e-05
0.07,-1.5629150069799302e-05,-2.1981525826165604e-05,1.0231594842061642e-05,2.118944435995804e-05,5.576914024551627e-06,-1.2667537776549843e-05,-1.8404002698957074e-05,4.3513927594236775e-05,0.00010232434090149824,9.575098291118311e-06,7.160530887646045e-05
0.07200000000000001,-1.627635931947953e-05,-2.5258645447182193e-05,1.0049547529599479e-05,2.5246672314653475e-05,1.5459631592907135e-06,-9.670855574425582e-06,-1.9190369461288234e-05,4.837307818139154e-05,0.0001296608135308331,9.085324417561842e-05,8.214316159792513e-05
0.074,-1.5055321301534094e-05,-2.588522203700083e-05,7.220043829449463e-06,2.7337284582201564e-05,-2.4955888415350164e-06,-8.068795205371667e-06,-1.7077751309235256e-05,5.1699996000571956e-05,9.359693833500052e-05,0.00017517098469643576,0.00010166235994164264
0.076,-1.5442994804008557e-05,-2.8419592163255934e-05,5.2974937356985865e-06,2.9063818474990727e-05,-6.495501197404987e-06,-7.434514348267245e-06,-1.775234425065145e-05,5.584116850077881e-05,7.33758360818725e-06,9.77719635647902e-05,9.800914211141837e-05
0.078,-1.2739946077335322e-05,-3.057970002940255e-05,4.631486090671142e-06,3.2566027472033965e-05,-9.297599949287406e-06,-8.22913314545542e-06,-1.8249643404448485e-05,5.898031591359758e-05,0.0001245271373078665,7.308292766936032e-05,0.00013304101539369224
0.08,-9.238997578619595e-06,-3.1553438426317075e-05,5.691841514999401e-06,3.523176884336579e-05,-1.1984331949223388e-05,-1.0575047652956941e-05,-1.72811966671898e-05,6.077134216069034e-05,0.00014908884778947837,0.0001876745677984555,9.155537707221292e-05
0.082,-5.142818407823825e-06,-3.280937681252442e-05,5.593495049360535e-06,3.698396938962146e-05,-1.3589595645874138e-05,-1.1816363812578625e-05,-1.563784745967948e-05,5.918626589694908e-05,0.00019032141818928444,0.00019055586485342926,0.00010326722263504618
0.084,-9.313383386650071e-08,-3.299714315005462e-05,5.3823439744435265e-06,3.784196339944369e-05,-1.4349379871524992e-05,-1.648526623602238e-05,-1.767920465615344e-05,5.813829679538629e-05,0.00020746609959730182,0.0001967894516321342,0.00013447232355192964
0.08600000000000001,4.19361486711708e-06,-3.390760330931994e-05,9.315252348322497e-06,4.059216649664745e-05,-1.3787667025053371e-05,-2.0498120962353414e-05,-1.6979545875451105e-05,5.504026612839466e-05,0.00013373949115604727,0.00010024130719081565,0.00012009308227926952
0.088,8.685961286999987e-06,-3.499488019721596e-05,1.169359473116167e-05,4.267043263961905e-05,-1.2448435015963036e-05,-2.4827204872808183e-05,-1.9820777721812762e-05,5.006225506812055e-05,0.00015355302413935416,0.0002243400745461186,0.00014518343764233845
0.09,1.4427261357978514e-05,-3.486421929370124e-05,1.1200710924962587e-05,4.503749010755566e-05,-1.0389585631246618e-05,-3.05187976894821e-05,-1.882598261165279e-05,4.424633678094837e-05,0.00015726027692097397,0.00015567996172917276,0.00019231028111645027
0.092,1.706721681816674e-05,-3.6873916033350706e-05,1.1261646304530843e-05,4.69348066942213e-05,-6.854660480262966e-06,-3.191662772276229e-05,-1.90489772374349e-05,3.92766406654163e-05,0.00016727552695582732,0.00021670548779188816,0.0001530048717284114
0.094,2.1786796025728336e-05,-3.82055790791144e-05,1.0989511786125385e-05,4.907211932864092e-05,-3.5567503580452833e-06,-3.586552813890731e-05,-1.710509814030117e-05,3.1862893553541036e-05,0.0002755351053628782,0.00032406589597194264,0.00017301316601059434
0.096,2.4756222911042186e-05,-3.7472659107221854e-05,7.4480839107176675e-06,5.075351390438798e-05,7.553942393939032e-07,-3.759483385206545e-05,-1.8457992920895725e-05,2.3944054247081924e-05,7.456988723705045e-05,0.00018780447060250637,0.00011907459729750381
0.098,2.81634171819528e-05,-3.803559864750743e-05,4.5284876514671405e-06,5.455370743489064e-05,4.430551664054144e-06,-3.674117576697336e-05,-1.7765417950116963e-05,1.6476159984925243e-05,0.00016221999294767313,0.0002500422828088988,0.00023439123881309172
0.1,2.940076916387814e-05,-3.785473912479287e-05,-2.597603137854297e-06,5.437043765141554e-05,7.98507889734034e-06,-3.810996112819389e-05,-1.64418298528364e-05,1.0547425196671926e-05,0.00024633544424046996,0.0002674037780620641,0.00021121197341341077
0.10200000000000001,3.086248411510225e-05,-3.7363453225870524e-05,-7.942125244398856e-06,5.39382396928436e-05,1.1754909038839132e-05,-3.440616922613654e-05,-1.558689664012287e-05,5.9943711564171406e-06,0.00021459171004146581,0.0002327255469326391,0.00017366310519272612
0.10400000000000001,3.0726731832667875e-05,-3.5661904776749015e-05,-1.6954926251402032e-05,5.3045607464810636e-05,1.461025376608993e-05,-3.3484556941620636e-05,-1.489568672513347e-05,2.170270568427832e-06,0.00019418142521219572,0.0003067132604491573,0.00022464687953921357
0.106,3.193567780957558e-05,-3.3650676577875835e-05,-2.8045825871012135e-05,5.1084940281615916e-05,1.683705926740159e-05,-2.9523942950507456e-05,-1.4044715121264034e-05,-9.651803595188385e-07,0.0001649167281195173,0.00019938951165928128,0.00016083279966518983
0.108,3.156504112028534e-05,-3.0245605977649152e-05,-3.8090632446689884e-05,4.989667941719571e-05,1.9133265745924396e-05,-2.5828497487446807e-05,-1.448645264430209e-05,-4.037865462844751e-06,0.00022846281453986546,0.00030021352183478596,0.0001189846403501522
0.11,3.112710827121698e-05,-2.6471080483769325e-05,-5.012563643192325e-05,4.630807315569828e-05,2.056034538776402e-05,-2.119064207990722e-05,-1.364271308423951e-05,-3.3311338696244434e-06,0.00015027408729624965,0.0002445815736145727,0.00018118597707577212
0.112,3.1823819445877266e-05,-2.1425706812482033e-05,-6.271625235565005e-05,4.0958625925237595e-05,2.1145392934324027e-05,-1.6167294831937465e-05,-1.2222131156149102e-05,-4.203064610637047e-06,0.0002129622447094038,0.0001266145908782628,9.201259088018503e-05
0.114,3.071859384462684e-05,-1.664616829089278e-05,-6.979457699245553e-05,3.6486547393266155e-05,2.0953939520341063e-05,-1.2434003116455002e-05,-1.1289772925703863e-05,-4.244415825128569e-06,0.00013491255575986976,0.00019248203199082387,0.00014715143547444385
0.116,2.963377259220445e-05,-8.661496135327776e-06,-7.699035211439956e-05,3.136480683110441e-05,2.0359614104060558e-05,-8.350727374641033e-06,-1.3997986396023694e-05,-3.3833139731363376e-06,0.00014166347779562242,4.091227592601831e-05,0.00011253714193005181
0.11800000000000001,2.9966511367870202e-05,-2.3785577362407284e-06,-8.218411894725875e-05,2.613132448350284e-05,1.9987357938818935e-05,-5.787661864151487e-06,-1.6987487196065177e-05,-2.868320121707564e-06,0.00016031490472910592,0.00018392265876737845,0.00011758759913455658
0.12,2.8420881254301106e-05,5.320808529777121e-06,-8.729825903304678e-05,2.0012745628609465e-05,1.944698991328853e-05,-1.7154602608241558e-06,-2.0543598590856186e-05,-2.399921228306018e-06,0.00019670181665898986,0.00012953993232865316,0.000134660176905272
0.122,2.8783792119409923e-05,1.210425995927032e-05,-9.114069287513232e-05,1.3159058345211299e-05,1.9476102044220555e-05,7.682474772449839e-07,-2.153405604740603e-05,-2.9083243277837782e-06,0.0001507255590407612,9.548193870630109e-05,7.76304425075402e-05
0.124,2.7916378642099098e-05,1.8918436680034158e-05,-9.101968316829237e-05,7.376587089043908e-06,1.956649051654359e-05,2.800149634717905e-06,-2.535079893704855e-05,-5.221904409785087e-06,0.00015087199373782986,0.0002477373914734329,9.58972148963415e-05
0.126,2.5959705316820482e-05,2.515341913978312e-05,-8.920856327524419e-05,1.1592964747699216e-06,1.9829910515039585e-05,4.388603830337796e-06,-2.7109549457362625e-05,-6.7653703812612416e-06,0.0001246102712159891,4.1657530716691776e-05,4.3858812227131784e-05
0.128,2.533145028939321e-05,3.052828030714176e-05,-8.580139325975653e-05,-5.070418170147549e-06,2.0750530935621744e-05,6.841093119851334e-06,-3.299380713382538e-05,-1.0300844751777941e-05,4.08753787148464e-05,-3.819819439062048e-05,7.58447116029002e-05
0.13,2.2850013753181407e-05,3.584359806930573e-05,-8.018760356610973e-05,-9.127889217791232e-06,2.321915087078619e-05,8.024505455997818e-06,-3.545783204089304e-05,-1.2818072360910844e-05,9.007896258647204e-05,7.138767276806679e-05,3.0063126036290918e-05
0.132,2.187715243262148e-05,3.8715301231509705e-05,-7.475084851123442e-05,-1.8595529237455452e-05,2.5873374020108997e-05,8.472951560672439e-06,-3.537555071151838e-05,-1.8362469599353806e-05,8.577037348006504e-05,0.0001738391630745799,2.9831879097566626e-05
0.134,1.9092532715299298e-05,4.092622303265201e-05,-6.660689441726522e-05,-2.5088799514546017e-05,2.81421085926643e-05,1.0478610583787763e-05,-3.88337813420096e-05,-2.0667937710998352e-05,9.972436273090046e-05,0.00015275992050406737,0.0001534727125126066
0.136,1.709024464830558e-05,4.138339517380868e-05,-5.780390446710962e-05,-3.163394305244291e-05,3.141642280658085e-05,1.2217303984769628e-05,-3.9485836181181526e-05,-2.755048011861108e-05,1.6724718795248865e-05,0.00011375679861781347,6.125959523808952e-05
0.138,1.5647830342128617e-05,4.253755436285452e-05,-5.0317003121835275e-05,-3.627814958599045e-05,3.40976960219477e-05,1.5560850238655723e-05,-3.9636545799013405e-05,-3.15339221104267e-05,0.0001523747703692977,0.00013882397793052863,4.337690227347097e-06
0.14,1.323894053600307e-05,4.17032021252532e-05,-4.3819859241710336e-05,-4.2586109319871666e-05,3.748113511306128e-05,1.8047390483579538e-05,-3.58728790455745e-05,-3.7224608347933106e-05,2.0405586908534005e-05,0.0002008878070275762,4.5606740768433244e-05
0.14200000000000002,1.1725382948896752e-05,3.848250029036197e-05,-3.425923757856123e-05,-5.19976462258671e-05,3.9798138015460945e-05,2.1723708623166424e-05,-3.4323624698660216e-05,-4.093752653538456e-05,2.1933366602128698e-05,1.0280996303016666e-06,0.0001232941835270138
0.14400000000000002,1.045727061216602e-05,3.549615858286923e-05,-3.047268442537226e-05,-5.8848654752116534e-05,4.0699485663260745e-05,2.486459903557612e-05,-3.2501455871131256e-05,-4.2729808178254154e-05,2.79499264687439e-05,-8.512206447781626e-06,1.7985401102489477e-05
0.146,9.09387188733446e-06,3.388999104629749e-05,-2.552574510664029e-05,-6.616109372108538e-05,4.076415045034452e-05,2.857228828058836e-05,-2.883070122235277e-05,-4.381519088429534e-05,3.8366317928806726e-05,3.126900849987964e-05,-1.9188563189094325e-05
0.148,7.355190654999319e-06,3.190196567655801e-05,-1.912280694894215e-05,-7.290397534562385e-05,4.083099339291093e-05,3.2051979808251733e-05,-2.498836170264137e-05,-4.41913016515933e-05,4.471055936461931e-05,-4.0829225270389173e-05,-4.047353403924194e-05
0.15,7.703141588479365e-06,2.9005080345747492e-05,-1.4463515808818635e-05,-7.643810225553754e-05,4.005445729376819e-05,3.658372298434898e-05,-2.1576386758187886e-05,-4.242897334146237e-05,0.00010104099940608374,4.799019076401616e-05,4.8066127614433896e-05
0.152,8.160359037171008e-06,2.6866488512600682e-05,-1.0245196296711425e-05,-8.33146987646381e-05,3.802705807266754e-05,3.837833074957644e-05,-1.8754621776686792e-05,-4.089453284373295e-05,1.842455189154853e-05,-4.595900448308196e-05,-2.0671804548669473e-05
0.154,5.512865725950335e-06,2.4231891293937454e-05,-9.614638313135819e-06,-8.70670031256717e-05,3.3547022603434e-05,3.986206944465051e-05,-1.550997753012417e-05,-3.8543194275627575e-05,2.3264991745735417e-05,8.49234364850865e-05,-7.72314424748971e-06
0.156,8.648445124328997e-06,2.332621257062941e-05,-6.136908549880108e-06,-8.929744302923132e-05,2.862013287464789e-05,4.235207600744687e-05,-1.628629963720106e-05,-3.372507087934042e-05,9.789994903188721e-05,0.00011760143190327691,-4.033726742427342e-05
0.158,8.29152784216311e-06,2.24512561593572e-05,-3.6162469348180576e-06,-8.804864518121737e-05,2.5388678534322884e-05,4.39245135519006e-05,-1.3305310971451818e-05,-3.0795733928022935e-05,-1.606585620031696e-05,1.1363213548154779e-05,-3.383936842134314e-05
0.16,9.290774661221938e-06,2.132175293397019e-05,-4.083954512583208e-06,-8.657997720787828e-05,1.951216739610842e-05,4.6328627701404866e-05,-1.5303638639623043e-05,-2.659125005944698e-05,2.1655784504894103e-05,1.4555318762594806e-05,4.6069766999250315e-05
0.162,8.865389588839905e-06,2.1837753334691545e-05,-5.909033764007067e-07,-8.312174175812516e-05,1.4922621497952447e-05,4.526446681779885e-05,-1.90739223000526e-05,-2.2232053537826824e-05,7.565385368918205e-05,-1.8546584884888543e-05,8.393930885771945e-05
0.164,9.971193424098082e-06,2.1940497813279914e-05,1.6759141363593878e-06,-7.759811489593865e-05,8.163436717489553e-06,4.5802122686798485e-05,-2.044174135570741e-05,-1.9020560839659203e-05,-2.1363547314505453e-05,0.00014471123403597477,6.477327406988538e-05
0.166,9.358754367373661e-06,2.1999741501190616e-05,4.164319529538935e-06,-7.099098530314109e-05,3.466185659293736e-06,4.543150048241689e-05,-2.6357218670777078e-05,-1.688557374816125e-05,3.6424423939346344e-05,1.9931221489747278e-05,8.401054439553183e-05
0.168,9.535318660422444e-06,2.0597252559650923e-05,2.465422691134352e-06,-6.258388139215565e-05,7.126737706775221e-07,4.659804968958236e-05,-2.9121540791733258e-05,-1.3632313790043294e-05,3.0056234912898204e-05,-1.7270022738832212e-05,4.115093141008415e-05
0.17,9.989007883498159e-06,2.072822471283384e-05,3.4238674165281266e-06,-5.2903067429789784e-05,-1.8347239783436448e-06,4.561380725328929e-05,-3.315552228037801e-05,-1.1945318196570111e-05,1.433238296672904e-05,5.2057771023814943e-05,3.880396980062676e-06
0.17200000000000001,9.477628224035443e-06,2.0160083460758012e-05,3.269914502236101e-06,-4.213114017398107e-05,-4.752702653618771e-06,4.6079907920180515e-05,-3.722355137765616e-05,-1.0673240156899962e-05,0.00011505803145225606,-1.929933666113533e-05,2.2929979009188144e-05
0.17400000000000002,8.986044795230161e-06,1.923820141405364e-05,4.272437455602163e-06,-3.06764899791973e-05,-5.5618943395347564e-06,4.357218657067051e-05,-4.132889065482203e-05,-9.138358898088782e-06,8.403086415197946e-05,8.052937409283589e-07,-6.46193390744774e-06
0.176,9.280548605537518e-06,1.5476423089018154e-05,5.870429883320004e-07,-2.0824958504143134e-05,-5.428807397536965e-06,4.2898048824268537e-05,-4.303468486288155e-05,-1.0053146539487982e-05,4.2326507476206756e-06,0.0001358258867497274,5.428092931425007e-05
0.178,9.85815186252525e-06,1.2646464810408804e-05,-1.5017264976357205e-06,-1.0954819746693212e-05,-4.8401337994573715e-06,4.201660257634161e-05,-4.342456114614607e-05,-1.1976228871753157e-05,-2.322321160427405e-05,0.00014426840946020792,6.36721597139832e-05
0.18,9.168358287072261e-06,8.63486667382303e-06,-4.901454249224588e-06,-3.713951976050592e-06,-4.114555504777292e-06,4.030087776588322e-05,-4.524470765327189e-05,-1.3033249372777423e-05,9.08706787757179e-05,0.00011774931776505459,5.1699499564300884e-05
0.182,1.1175430430015527e-05,5.295714549662386e-06,-6.197938865123382e-06,1.910215506046958e-06,-1.8878616049406752e-06,3.800965567818937e-05,-4.166893833576918e-05,-1.2827324501655411e-05,-0.0014690368742339296,-0.0017245564820612019,-0.0011531518522131026
0.184,1.2957741102819952e-05,-6.290921621407336e-07,-1.2506574782957346e-05,7.424547248441891e-06,6.421272111859055e-07,3.5931690461392066e-05,-3.938987493973836e-05,-1.3350642397474927e-05,-0.0013691378548511188,-0.0016713226815724483,-0.0010270209865146818
0.186,1.299040210792558e-05,-1.9791803702914448e-06,-1.7445691760656884e-05,1.1032073383542936e-05,2.8121660237108525e-06,3.239053405415047e-05,-3.667233501660523e-05,-1.542160102245745e-05,-0.0012832299877923953,-0.0014962078866585936,-0.0010200623009759728
0.188,1.7272330729957804e-05,-6.394005177715152e-06,-2.193748918329528e-05,1.2887626316015617e-05,5.948325384969555e-06,2.8619792994223138e-05,-3.103743707088394e-05,-1.4911064176260648e-05,-0.001220224861787881,-0.0014027120211999784,-0.0009000564843174339
0.19,2.0434586066197862e-05,-1.0373419543860763e-05,-2.842471792028547e-05,1.4029080629349789e-05,8.5442463937879e-06,2.4670966809582593e-05,-2.784504505581305e-05,-1.6811300659475353e-05,-0.001054869974231178,-0.0011757337001217863,-0.0008339843040180156
0.192,2.426524454273723e-05,-1.2428643093891064e-05,-3.43855024493263e-05,1.2008228455008328e-05,1.0670702090133902e-05,1.8784011281934342e-05,-2.126969698306543e-05,-1.6827781034146486e-05,-0.0008763442105833795,-0.0008720270385668651,-0.0006483561325892707
0.194,2.8546614810021802e-05,-1.4817537784047223e-05,-3.822807208089689e-05,1.3163173835670475e-05,1.2626680682163458e-05,1.350633534350162e-05,-1.8009260144116802e-05,-1.7023329914437623e-05,-0.0006337675729338798,-0.0007764407877771201,-0.00043548903345341306
0.196,3.190067735191207e-05,-1.5282578575863445e-05,-4.289516515548777e-05,9.344711519607871e-06,1.4277528810717523e-05,7.6072363428179286e-06,-1.2584906938460478e-05,-1.7627881232235783e-05,-0.00036196472460039937,-0.0004633520113762208,-0.000298893170721968
0.198,3.6011684506772835e-05,-1.519672806168643e-05,-4.868973184999202e-05,8.603843736881047e-06,1.7098395335922576e-05,2.532548825354558e-06,-9.117238936141349e-06,-1.52190275596095e-05,-0.00027844450997623695,-0.00015534299592445295,-0.00011662083426267815
0.2,3.90325845635042e-05,-1.3800812244406911e-05,-5.151655564889517e-05,5.94017569964664e-06,1.7287892134587554e-05,-3.190383139521031e-06,-8.064374809130938e-06,-1.581833491149404e-05,3.4024868139363394e-05,0.00023809606607201402,8.832034853741183e-05
0.202,4.185566359116834e-05,-1.2565121920525382e-05,-5.587471000071557e-05,5.740663174505457e-06,1.9172878173098105e-05,-8.834113452134294e-06,-7.517222784216981e-06,-1.6019529364071993e-05,0.0002663930922453397,0.0004316629852515914,0.0002369347001617402
0.20400000000000001,4.407748171905229e-05,-7.769986114427002e-06,-5.779590458268647e-05,6.396357124295005e-06,2.0400141861765998e-05,-1.3493868795734032e-05,-8.443148729842544e-06,-1.6411593594497712e-05,0.0006327900673853486,0.0007433136071705625,0.00038184817388478
